Provincia de procedencia (agrupadas por comunidad autónoma);Nacionalidad;Continente de nacimiento;Total
Málaga;Extranjeros;Nacidos en la UE27_2020;3.973
Málaga;Extranjeros;Nacidos en el resto de Europa;4.005
Málaga;Extranjeros;Nacidos en África;1.966
Málaga;Extranjeros;Nacidos en América;2.547
Málaga;Extranjeros;Nacidos en Asia;825
Málaga;Extranjeros;Nacidos en Oceanía;27
Sevilla;Total;Total;5.473
Sevilla;Total;Nacidos en España;1.174
Sevilla;Total;Nacidos en la UE27_2020;1.097
Sevilla;Total;Nacidos en el resto de Europa;298
Sevilla;Total;Nacidos en África;893
Sevilla;Total;Nacidos en América;1.702
Sevilla;Total;Nacidos en Asia;293
Sevilla;Total;Nacidos en Oceanía;16
Sevilla;Españoles;Total;1.337
Sevilla;Españoles;Nacidos en España;1.030
Sevilla;Españoles;Nacidos en la UE27_2020;26
Sevilla;Españoles;Nacidos en el resto de Europa;12
Sevilla;Españoles;Nacidos en África;50
Sevilla;Españoles;Nacidos en América;212
Sevilla;Españoles;Nacidos en Asia;7
Sevilla;Españoles;Nacidos en Oceanía;0
Sevilla;Extranjeros;Total;4.136
Sevilla;Extranjeros;Nacidos en España;144
Sevilla;Extranjeros;Nacidos en la UE27_2020;1.071
Sevilla;Extranjeros;Nacidos en el resto de Europa;286
Sevilla;Extranjeros;Nacidos en África;843
Sevilla;Extranjeros;Nacidos en América;1.490
Sevilla;Extranjeros;Nacidos en Asia;286
Sevilla;Extranjeros;Nacidos en Oceanía;16
ARAGÓN;Total;Total;11.195
ARAGÓN;Total;Nacidos en España;1.400
ARAGÓN;Total;Nacidos en la UE27_2020;2.295
ARAGÓN;Total;Nacidos en el resto de Europa;318
ARAGÓN;Total;Nacidos en África;2.627
ARAGÓN;Total;Nacidos en América;3.685
ARAGÓN;Total;Nacidos en Asia;856
ARAGÓN;Total;Nacidos en Oceanía;14
ARAGÓN;Españoles;Total;1.266
ARAGÓN;Españoles;Nacidos en España;793
ARAGÓN;Españoles;Nacidos en la UE27_2020;33
ARAGÓN;Españoles;Nacidos en el resto de Europa;12
ARAGÓN;Españoles;Nacidos en África;169
ARAGÓN;Españoles;Nacidos en América;233
ARAGÓN;Españoles;Nacidos en Asia;26
ARAGÓN;Españoles;Nacidos en Oceanía;0
ARAGÓN;Extranjeros;Total;9.929
ARAGÓN;Extranjeros;Nacidos en España;607
ARAGÓN;Extranjeros;Nacidos en la UE27_2020;2.262
ARAGÓN;Extranjeros;Nacidos en el resto de Europa;306
ARAGÓN;Extranjeros;Nacidos en África;2.458
ARAGÓN;Extranjeros;Nacidos en América;3.452
ARAGÓN;Extranjeros;Nacidos en Asia;830
ARAGÓN;Extranjeros;Nacidos en Oceanía;14
Huesca;Total;Total;1.448
